Area_sqft,Bedrooms,Bathrooms,Stories,Parking,Age_years,Location,Furnishing,Road_access,Guestroom,Basement,Hot_water,AC,Preferred_area,Price
1313,2,1,1,3,20,Northend,Unfurnished,No,Yes,No,Yes,Yes,No,285630.35
902,6,4,1,1,28,Midtown,Unfurnished,Yes,No,No,No,Yes,No,448673.04
2502,2,3,1,2,27,Downtown,Unfurnished,No,No,No,Yes,No,No,540113.59
4666,3,1,1,0,7,Midtown,Furnished,Yes,No,Yes,No,No,No,907383.8
3425,4,4,1,1,48,Uptown,Semi-Furnished,Yes,No,No,No,No,No,859904.73
3493,4,4,2,3,35,Rural,Unfurnished,Yes,Yes,No,No,No,No,351183.89
1586,5,3,1,2,5,Uptown,Furnished,Yes,No,No,Yes,No,Yes,702791.77
4840,2,4,1,3,10,Northend,Furnished,Yes,No,No,No,Yes,No,679870.36
3066,2,1,1,3,3,Midtown,Semi-Furnished,No,No,No,No,No,No,629526.24
4988,4,4,3,1,34,Lakeview,Unfurnished,No,Yes,No,Yes,Yes,Yes,1594580.05
1271,2,4,2,2,15,Downtown,Semi-Furnished,Yes,No,No,No,Yes,No,581744.06
4172,6,2,3,3,18,Midtown,Semi-Furnished,Yes,Yes,No,Yes,Yes,Yes,931848.13
3748,2,2,1,2,21,Westside,Furnished,Yes,No,No,No,No,Yes,637796.27
2169,3,3,1,2,11,Midtown,Unfurnished,Yes,No,No,No,Yes,No,397060.43
2056,4,1,2,0,42,Southend,Semi-Furnished,No,No,No,Yes,Yes,No,440360.66
3458,4,4,1,0,38,Downtown,Unfurnished,Yes,No,Yes,Yes,Yes,Yes,891290.23
1651,6,2,2,1,29,Eastside,Unfurnished,Yes,Yes,No,Yes,Yes,Yes,526637.58
1717,6,4,3,2,9,Downtown,Furnished,Yes,No,No,Yes,No,No,823212.26
2731,1,4,3,1,0,Westside,Semi-Furnished,Yes,No,No,No,Yes,Yes,572279.29
4842,6,4,3,0,13,Southend,Semi-Furnished,Yes,No,No,Yes,Yes,Yes,760144.38
4444,4,3,3,1,5,Southend,Furnished,Yes,No,No,Yes,Yes,No,832884.66
2542,4,2,1,0,35,Uptown,Semi-Furnished,Yes,Yes,No,Yes,No,Yes,798878.17
1205,6,4,2,0,1,Lakeview,Unfurnished,Yes,No,No,Yes,No,Yes,809845.61
3169,1,2,2,3,38,Lakeview,Unfurnished,Yes,Yes,No,Yes,Yes,No,720043.92
2613,2,4,3,3,22,Lakeview,Furnished,Yes,Yes,Yes,Yes,Yes,No,998259.91
3477,2,4,2,1,15,Uptown,Semi-Furnished,Yes,No,No,Yes,Yes,Yes,1020598.9
4849,5,1,3,3,12,Southend,Semi-Furnished,No,No,No,Yes,No,Yes,876325.18
4878,2,1,2,2,14,Southend,Furnished,Yes,No,Yes,No,Yes,Yes,613023.25
922,4,2,2,3,33,Lakeview,Furnished,Yes,No,No,No,Yes,No,483586.7
2521,5,4,3,3,2,Midtown,Semi-Furnished,No,No,No,Yes,Yes,No,608371.26
4293,5,2,1,2,49,Downtown,Unfurnished,No,Yes,Yes,No,Yes,Yes,1177278.18
4631,6,4,2,3,25,Rural,Unfurnished,No,No,No,No,No,No,585821.25
1030,6,2,1,2,17,Midtown,Semi-Furnished,Yes,No,Yes,No,No,No,496648.59
590,2,2,3,0,46,Northend,Semi-Furnished,Yes,No,No,No,Yes,No,180718.18
3872,5,3,1,1,8,Downtown,Furnished,No,Yes,Yes,Yes,Yes,Yes,1225357.59
2442,1,3,1,2,45,Rural,Semi-Furnished,No,No,Yes,Yes,Yes,Yes,322551.33
4305,5,2,1,0,10,Eastside,Semi-Furnished,No,Yes,No,Yes,No,No,626420.14
1740,3,1,1,3,20,Eastside,Semi-Furnished,Yes,No,No,No,Yes,No,323343.43
2258,1,1,2,2,42,Eastside,Unfurnished,Yes,No,No,No,No,Yes,391401.71
597,4,4,3,0,22,Lakeview,Semi-Furnished,Yes,No,Yes,Yes,Yes,Yes,779725.89
1979,2,3,2,1,1,Uptown,Semi-Furnished,Yes,No,Yes,Yes,Yes,No,618863.15
5126,2,2,1,0,29,Lakeview,Unfurnished,Yes,Yes,Yes,No,No,No,1433130.76
2332,6,1,1,0,13,Eastside,Unfurnished,Yes,Yes,No,Yes,Yes,Yes,589437.82
3085,3,4,1,1,42,Downtown,Semi-Furnished,Yes,Yes,No,No,Yes,No,812325.41
4147,2,4,3,3,5,Northend,Semi-Furnished,Yes,No,No,No,Yes,Yes,655434.07
579,4,2,3,1,47,Uptown,Unfurnished,No,No,No,Yes,No,No,277650.42
2723,5,4,2,1,12,Southend,Unfurnished,Yes,No,No,No,No,No,536554.8
3069,2,3,3,0,20,Southend,Semi-Furnished,Yes,No,No,Yes,No,No,605720.32
2272,4,3,1,1,29,Downtown,Unfurnished,Yes,Yes,Yes,Yes,No,No,691549.51
5018,6,1,1,0,20,Lakeview,Semi-Furnished,Yes,No,No,Yes,Yes,No,1550384.19
1623,1,2,1,2,1,Midtown,Unfurnished,Yes,No,No,Yes,No,Yes,391332.42
4311,4,3,1,2,0,Northend,Furnished,Yes,Yes,No,Yes,Yes,Yes,631795.2
3974,6,1,1,1,42,Northend,Furnished,Yes,No,No,Yes,No,No,465945.25
3123,3,4,3,0,47,Downtown,Semi-Furnished,Yes,No,Yes,No,Yes,No,789017.56
1903,4,2,2,3,25,Southend,Semi-Furnished,Yes,No,No,Yes,No,No,353449.97
3078,2,2,3,1,11,Westside,Semi-Furnished,Yes,Yes,No,No,No,No,525752.87
831,5,4,1,3,16,Lakeview,Unfurnished,Yes,Yes,No,Yes,Yes,Yes,723146.96
4108,4,3,3,0,14,Lakeview,Unfurnished,Yes,Yes,No,Yes,No,No,1330394.85
1239,3,4,2,2,42,Southend,Semi-Furnished,Yes,No,Yes,Yes,Yes,No,398511.12
5106,1,4,2,2,12,Uptown,Semi-Furnished,Yes,Yes,No,No,Yes,Yes,1456829.1
541,3,1,3,1,36,Eastside,Semi-Furnished,Yes,Yes,No,No,No,No,238071.6
4378,6,2,1,2,5,Westside,Furnished,Yes,No,No,Yes,No,Yes,932218.42
2449,1,4,1,2,43,Rural,Unfurnished,No,Yes,No,Yes,Yes,No,344821.38
3960,4,1,3,3,16,Lakeview,Semi-Furnished,Yes,No,Yes,Yes,Yes,No,989307.71
2628,5,4,2,1,28,Uptown,Unfurnished,Yes,No,Yes,No,Yes,Yes,662666.08
4997,3,2,2,1,42,Rural,Furnished,Yes,No,No,Yes,No,Yes,498522.59
2654,5,4,3,2,11,Rural,Furnished,No,No,No,No,Yes,No,362323.85
1737,6,2,2,2,31,Downtown,Furnished,Yes,Yes,Yes,Yes,No,No,759906.86
2266,4,2,3,1,28,Northend,Unfurnished,Yes,Yes,No,Yes,No,No,311010.58
2341,5,1,3,0,33,Rural,Unfurnished,Yes,No,Yes,Yes,Yes,No,356962.15
1005,5,4,3,3,26,Rural,Semi-Furnished,Yes,No,No,No,No,No,273406.18
2341,3,4,2,1,0,Eastside,Semi-Furnished,Yes,No,No,Yes,No,No,502404.27
1894,4,4,3,1,29,Northend,Semi-Furnished,Yes,No,Yes,No,Yes,No,389108.31
756,5,3,1,3,25,Midtown,Unfurnished,Yes,Yes,Yes,Yes,Yes,No,523988.87
2220,1,2,2,1,42,Southend,Furnished,Yes,No,No,No,No,Yes,414465.07
1571,2,3,2,1,8,Lakeview,Semi-Furnished,Yes,No,Yes,Yes,Yes,No,687619.67
2122,1,2,1,0,16,Eastside,Semi-Furnished,Yes,No,No,Yes,Yes,No,317505.35
2566,6,3,3,2,1,Suburban,Semi-Furnished,Yes,No,No,Yes,No,No,641674.93
1569,5,4,1,3,43,Downtown,Semi-Furnished,Yes,No,No,Yes,Yes,Yes,775893.84
950,4,1,2,0,0,Suburban,Unfurnished,No,No,Yes,No,No,No,365544.06
1397,1,2,1,1,2,Eastside,Unfurnished,Yes,Yes,No,Yes,No,No,286786.82
4228,4,2,1,1,9,Rural,Furnished,No,Yes,No,Yes,Yes,Yes,719130.66
581,6,3,2,0,46,Downtown,Semi-Furnished,Yes,Yes,No,Yes,Yes,No,442630.25
1236,1,3,3,0,26,Southend,Furnished,Yes,No,No,Yes,Yes,No,342422.89
4674,4,3,3,2,31,Rural,Semi-Furnished,No,No,No,Yes,Yes,No,377368.7
4444,5,1,3,0,25,Northend,Unfurnished,Yes,No,Yes,Yes,Yes,No,749362.05
2707,3,2,1,0,36,Rural,Semi-Furnished,Yes,Yes,No,Yes,Yes,No,325147.84
4448,1,1,1,0,0,Southend,Furnished,No,No,No,Yes,No,No,656848.66
2502,6,1,2,1,1,Rural,Unfurnished,Yes,No,No,Yes,No,Yes,485226.59
2191,4,3,1,1,22,Southend,Furnished,Yes,Yes,Yes,No,Yes,No,481931.16
1679,1,4,2,3,45,Downtown,Unfurnished,No,Yes,No,Yes,Yes,Yes,622279.8
3435,4,3,1,1,39,Midtown,Semi-Furnished,Yes,No,Yes,No,No,Yes,885043.2
3015,4,2,1,3,20,Suburban,Unfurnished,Yes,Yes,No,No,Yes,No,472401.42
961,3,4,1,2,7,Southend,Furnished,Yes,Yes,No,Yes,No,Yes,288768.53
3401,4,2,2,2,40,Uptown,Furnished,Yes,No,No,Yes,Yes,No,811985.02
616,1,2,2,2,31,Southend,Furnished,Yes,Yes,Yes,Yes,Yes,Yes,276216.36
2154,6,4,1,1,40,Southend,Unfurnished,Yes,No,No,Yes,No,Yes,513187.58
5061,5,3,2,0,48,Suburban,Furnished,Yes,No,No,No,No,No,796066.7
2298,6,3,3,2,14,Northend,Unfurnished,No,No,No,Yes,Yes,No,508136.65
1159,2,4,1,2,17,Northend,Semi-Furnished,Yes,No,No,Yes,Yes,Yes,339634.78
3737,4,1,1,0,14,Northend,Furnished,Yes,Yes,No,No,No,Yes,602305.51
2622,2,2,3,0,21,Westside,Semi-Furnished,Yes,No,No,Yes,Yes,Yes,667530.02
4319,5,1,2,1,6,Downtown,Furnished,Yes,No,Yes,Yes,Yes,No,1211056.83
3843,6,2,1,0,9,Uptown,Semi-Furnished,Yes,Yes,No,No,Yes,No,1026742.63
3050,2,2,1,2,43,Westside,Unfurnished,Yes,No,No,No,Yes,No,476384.07
2086,4,2,3,2,15,Eastside,Furnished,No,No,Yes,No,Yes,Yes,585458.07
5182,1,1,1,1,27,Suburban,Furnished,Yes,No,No,No,Yes,No,899875.72
3247,6,4,1,1,26,Southend,Unfurnished,Yes,Yes,Yes,Yes,Yes,Yes,614543.53
1134,6,4,1,0,1,Westside,Unfurnished,Yes,No,Yes,No,Yes,Yes,420133.92
3382,3,1,2,1,30,Northend,Unfurnished,No,Yes,Yes,Yes,Yes,No,537598.07
3311,6,1,1,2,47,Suburban,Semi-Furnished,Yes,No,Yes,Yes,Yes,Yes,683456.76
4953,4,4,2,3,38,Uptown,Furnished,Yes,No,Yes,No,Yes,Yes,1063247.54
4515,4,3,1,1,19,Southend,Furnished,Yes,Yes,No,No,Yes,Yes,817831.48
3239,3,4,1,1,36,Uptown,Unfurnished,Yes,Yes,No,Yes,Yes,No,953751.36
2384,3,3,1,1,4,Uptown,Semi-Furnished,No,Yes,No,No,Yes,Yes,849389.27
2018,6,4,2,1,28,Uptown,Unfurnished,Yes,No,No,Yes,No,No,567291.92
1121,3,1,3,0,4,Westside,Furnished,Yes,No,No,Yes,No,No,488478.33
5077,3,3,1,3,8,Downtown,Unfurnished,No,Yes,No,Yes,No,No,1171471.39
2037,3,3,1,0,10,Westside,Furnished,Yes,No,No,No,No,No,409726.41
2837,4,1,1,0,4,Southend,Unfurnished,Yes,Yes,No,Yes,Yes,No,435196.84
2494,2,2,3,2,20,Lakeview,Semi-Furnished,Yes,Yes,Yes,Yes,Yes,No,865408.76
2570,1,3,1,3,30,Northend,Unfurnished,Yes,No,No,No,No,No,430657.32
2865,4,1,1,2,38,Westside,Unfurnished,No,No,No,No,Yes,Yes,542402.37
3345,5,2,2,1,28,Southend,Furnished,Yes,No,Yes,Yes,Yes,No,819054.34
3538,6,3,2,2,17,Northend,Furnished,Yes,No,No,No,Yes,Yes,709884.99
1354,4,1,3,1,10,Midtown,Semi-Furnished,No,Yes,Yes,No,No,Yes,605340.22
3228,6,4,2,3,9,Westside,Unfurnished,Yes,Yes,No,No,No,Yes,690399.09
1415,4,4,2,3,45,Westside,Unfurnished,Yes,No,No,Yes,No,Yes,523845.23
631,2,4,1,1,30,Uptown,Furnished,Yes,No,Yes,Yes,No,No,366959.69
1616,6,4,1,3,39,Suburban,Semi-Furnished,Yes,No,No,Yes,Yes,Yes,512910.32
4093,3,2,3,3,20,Southend,Furnished,Yes,No,Yes,Yes,Yes,Yes,729739.55
1360,6,3,2,1,37,Northend,Furnished,Yes,No,No,No,Yes,No,326480.37
793,5,4,2,3,35,Midtown,Furnished,No,No,No,Yes,Yes,Yes,514786.75
3188,2,4,1,2,1,Suburban,Furnished,Yes,Yes,Yes,No,Yes,No,648620.1
1499,1,1,2,3,30,Midtown,Semi-Furnished,Yes,No,Yes,No,Yes,Yes,557998.2
2796,5,1,3,2,12,Eastside,Semi-Furnished,Yes,No,Yes,Yes,Yes,Yes,487566.42
4185,5,3,2,1,28,Uptown,Unfurnished,Yes,Yes,No,Yes,Yes,No,888517.96
786,2,4,2,3,20,Eastside,Furnished,No,Yes,Yes,Yes,Yes,Yes,375759.94
949,5,1,3,0,20,Northend,Semi-Furnished,Yes,No,No,Yes,No,Yes,270875.5
2838,4,2,1,0,2,Southend,Semi-Furnished,Yes,No,Yes,Yes,No,No,509135.25
3740,4,1,2,3,41,Eastside,Furnished,No,No,Yes,No,Yes,No,600015.16
3203,3,3,3,3,32,Eastside,Semi-Furnished,Yes,No,Yes,No,Yes,Yes,648237.52
3616,2,4,3,1,15,Westside,Semi-Furnished,Yes,No,Yes,No,No,No,716503.47
5071,4,2,2,1,21,Midtown,Furnished,Yes,No,No,No,Yes,No,988068.84
752,5,1,3,0,10,Suburban,Furnished,Yes,No,No,No,No,No,374538.03
1919,5,1,1,0,17,Northend,Unfurnished,Yes,No,No,Yes,No,No,390525.88
2836,4,4,1,3,11,Westside,Furnished,No,Yes,No,No,No,Yes,826397.98
1735,2,2,2,3,39,Lakeview,Unfurnished,Yes,No,Yes,No,Yes,No,713448.35
1499,2,2,1,2,37,Uptown,Unfurnished,Yes,No,No,No,No,Yes,445123.4
4260,1,3,1,0,35,Rural,Furnished,Yes,No,No,No,No,Yes,404925.17
4616,2,1,3,1,28,Lakeview,Semi-Furnished,Yes,Yes,No,Yes,Yes,Yes,1432787.67
4911,6,2,3,3,9,Downtown,Furnished,Yes,No,Yes,No,Yes,No,1271337.31
3111,6,4,3,0,22,Midtown,Furnished,Yes,Yes,No,Yes,No,Yes,888160.43
1946,6,1,1,0,13,Uptown,Unfurnished,Yes,No,No,No,Yes,Yes,500025.51
2670,4,4,3,2,45,Northend,Semi-Furnished,Yes,No,No,No,No,No,457687.89
3421,1,1,1,3,21,Midtown,Semi-Furnished,Yes,No,No,No,Yes,Yes,777316.67
4183,5,1,1,2,0,Suburban,Semi-Furnished,Yes,No,No,Yes,Yes,Yes,942299.17
2761,4,3,3,0,36,Eastside,Semi-Furnished,Yes,No,Yes,Yes,Yes,No,522240.56
2445,3,4,1,2,20,Suburban,Semi-Furnished,Yes,Yes,No,Yes,Yes,No,532669.21
2353,3,4,2,0,37,Uptown,Furnished,No,No,Yes,Yes,Yes,No,716700.55
1099,2,4,3,3,31,Suburban,Semi-Furnished,Yes,No,No,Yes,No,Yes,367729.62
4635,1,1,2,2,14,Suburban,Unfurnished,Yes,No,No,Yes,Yes,Yes,691784.38
3903,1,3,1,1,39,Uptown,Unfurnished,Yes,No,No,Yes,Yes,Yes,926969.96
3490,5,4,3,1,35,Downtown,Furnished,Yes,No,No,Yes,No,Yes,945730.07
4777,2,4,1,1,38,Westside,Semi-Furnished,Yes,Yes,No,Yes,Yes,Yes,817865.83
4860,1,4,3,0,21,Uptown,Unfurnished,Yes,No,No,Yes,No,Yes,936257.33
3318,4,1,3,1,48,Midtown,Unfurnished,Yes,No,No,Yes,Yes,No,735381.33
1362,5,3,2,2,0,Midtown,Furnished,Yes,No,No,No,No,Yes,558821.5
5027,1,3,1,0,41,Rural,Semi-Furnished,Yes,Yes,No,Yes,No,No,461822.51
4555,3,1,2,0,5,Westside,Furnished,No,No,No,Yes,Yes,No,760997.76
1719,3,4,2,3,30,Midtown,Unfurnished,Yes,No,Yes,No,No,Yes,595897.28
4295,1,3,2,1,11,Northend,Furnished,No,No,No,Yes,Yes,No,548694.68
5104,6,3,2,3,19,Suburban,Unfurnished,Yes,No,Yes,No,No,No,821153.65
5042,6,3,2,2,18,Lakeview,Unfurnished,Yes,No,No,Yes,No,No,1508369.39
1027,3,1,1,1,47,Lakeview,Unfurnished,No,No,No,Yes,No,No,360099.93
3422,4,4,1,0,45,Midtown,Semi-Furnished,Yes,No,No,Yes,Yes,No,604261.65
3704,5,2,2,3,40,Westside,Unfurnished,Yes,No,No,Yes,Yes,No,757215.4
1662,4,2,1,0,4,Downtown,Furnished,Yes,Yes,No,Yes,Yes,No,751852.97
4064,3,1,3,0,20,Southend,Semi-Furnished,No,No,No,No,No,No,623216.88
1346,1,4,1,3,20,Lakeview,Semi-Furnished,Yes,No,No,No,No,No,553818.72
2617,1,4,3,1,28,Southend,Semi-Furnished,Yes,No,No,Yes,Yes,Yes,563069.98
3586,5,3,1,1,8,Northend,Semi-Furnished,Yes,Yes,No,Yes,No,No,550386.29
2270,3,4,2,3,39,Westside,Semi-Furnished,Yes,Yes,Yes,No,Yes,Yes,621280.19
3783,3,1,3,0,10,Suburban,Furnished,Yes,No,No,Yes,No,No,768532.36
2325,3,4,1,3,35,Lakeview,Unfurnished,Yes,No,Yes,Yes,Yes,No,604159.64
3823,2,2,1,3,30,Southend,Semi-Furnished,Yes,No,No,Yes,No,No,553416.33
945,1,2,2,2,40,Rural,Semi-Furnished,Yes,No,No,Yes,Yes,No,198775.6
1525,3,3,1,1,15,Suburban,Furnished,Yes,No,No,Yes,No,Yes,467669.54
2271,5,4,1,3,15,Rural,Unfurnished,Yes,No,Yes,No,No,No,353243.53
1859,6,1,1,3,19,Eastside,Furnished,Yes,Yes,Yes,Yes,Yes,Yes,575491.21
518,2,2,1,2,27,Southend,Unfurnished,Yes,No,No,Yes,Yes,No,236509.47
1060,3,1,3,3,9,Uptown,Semi-Furnished,No,No,No,Yes,Yes,No,391717.78
971,1,2,2,2,25,Lakeview,Unfurnished,No,Yes,No,No,No,No,376190.78
527,6,2,2,1,31,Rural,Furnished,Yes,No,Yes,Yes,No,No,230329.1
1059,2,2,3,2,34,Uptown,Furnished,Yes,No,Yes,No,No,No,375424.95
3155,4,1,2,0,6,Northend,Semi-Furnished,Yes,No,No,Yes,No,No,519836.28
3736,5,1,1,3,26,Northend,Semi-Furnished,Yes,Yes,No,No,Yes,No,646921.65
5053,1,4,1,2,16,Lakeview,Furnished,Yes,No,No,No,No,No,1338717.18
1444,4,3,1,1,20,Uptown,Semi-Furnished,Yes,No,No,Yes,Yes,No,456975.62
4448,1,4,3,3,39,Rural,Semi-Furnished,Yes,No,Yes,No,Yes,Yes,563947.93
4156,5,1,1,3,8,Northend,Furnished,No,No,Yes,Yes,Yes,No,738744.7
3563,3,4,1,2,14,Midtown,Semi-Furnished,Yes,Yes,No,No,Yes,Yes,871823.28
2479,4,1,2,0,28,Uptown,Semi-Furnished,No,No,No,Yes,Yes,No,739649.92
3216,4,2,1,2,0,Downtown,Unfurnished,Yes,Yes,Yes,Yes,Yes,No,915555.43
1315,2,3,3,1,27,Suburban,Unfurnished,Yes,No,No,Yes,No,No,246535.56
2826,3,3,3,2,17,Uptown,Furnished,Yes,No,No,Yes,Yes,No,549342.88
2830,5,1,2,2,29,Rural,Furnished,No,No,No,Yes,Yes,No,333156.22
1502,6,4,3,3,24,Northend,Furnished,No,No,No,No,Yes,No,438143.74
2042,2,1,3,0,7,Rural,Unfurnished,Yes,No,No,Yes,Yes,No,314921.41
4704,4,1,3,0,11,Westside,Unfurnished,Yes,Yes,No,Yes,No,Yes,880454.74
1729,1,1,3,0,11,Midtown,Unfurnished,Yes,No,Yes,Yes,No,No,566505.08
3805,5,1,3,3,21,Uptown,Furnished,Yes,No,Yes,No,Yes,Yes,852883.41
3029,2,3,3,1,11,Downtown,Unfurnished,Yes,No,Yes,Yes,Yes,No,883722.07
1930,6,3,2,0,13,Uptown,Furnished,Yes,No,No,Yes,No,Yes,857258.0
4412,3,4,1,0,33,Suburban,Unfurnished,Yes,No,No,No,No,No,705939.49
2032,6,3,3,1,5,Rural,Semi-Furnished,Yes,Yes,No,No,Yes,No,369780.77
2392,1,2,3,0,34,Northend,Furnished,No,No,No,Yes,Yes,No,450970.61
3624,2,2,2,1,6,Westside,Semi-Furnished,Yes,No,No,Yes,No,Yes,738537.57
1921,5,1,2,3,14,Midtown,Furnished,Yes,No,No,Yes,No,Yes,661202.45
890,1,2,3,0,33,Midtown,Semi-Furnished,Yes,Yes,No,No,No,No,327656.93
3318,2,3,2,3,15,Uptown,Semi-Furnished,Yes,Yes,No,Yes,Yes,Yes,1008371.49
2369,2,1,3,2,30,Southend,Furnished,Yes,Yes,Yes,No,Yes,No,422535.8
3460,6,2,1,1,46,Lakeview,Unfurnished,No,No,No,No,Yes,No,931854.4
1695,5,4,1,0,7,Downtown,Furnished,Yes,No,No,No,No,No,879659.97
3105,3,3,1,0,46,Southend,Furnished,Yes,No,Yes,No,No,No,442125.54
1357,1,1,3,0,12,Downtown,Semi-Furnished,Yes,Yes,No,Yes,No,No,714137.17
3727,6,1,3,1,16,Northend,Semi-Furnished,No,No,No,Yes,Yes,No,590516.7
2016,2,3,3,2,45,Suburban,Unfurnished,Yes,No,Yes,Yes,No,No,385356.94
1653,6,3,1,0,42,Northend,Unfurnished,Yes,No,Yes,No,Yes,No,284867.44
1342,6,4,2,0,2,Northend,Semi-Furnished,Yes,No,No,Yes,No,No,405205.54
2182,6,2,2,0,49,Southend,Unfurnished,Yes,Yes,Yes,Yes,No,Yes,582727.47
794,5,3,2,3,2,Southend,Unfurnished,Yes,Yes,Yes,Yes,Yes,No,367045.09
1144,2,3,2,1,17,Southend,Unfurnished,Yes,No,No,Yes,Yes,No,326521.68
4133,5,4,3,0,42,Eastside,Unfurnished,Yes,No,No,No,Yes,Yes,642531.03
2635,5,3,2,2,19,Northend,Semi-Furnished,Yes,No,No,No,No,No,453127.21
610,2,1,1,3,14,Rural,Unfurnished,Yes,No,No,Yes,No,No,144611.81
1083,6,4,3,1,45,Midtown,Furnished,Yes,No,No,Yes,No,No,442118.9
3725,6,3,1,0,42,Eastside,Unfurnished,Yes,No,No,Yes,Yes,No,501688.76
1986,5,3,3,2,42,Northend,Furnished,Yes,No,No,No,Yes,Yes,454982.5
2148,1,1,1,3,16,Lakeview,Unfurnished,Yes,Yes,No,Yes,No,No,715043.37
2881,6,1,1,2,5,Suburban,Semi-Furnished,No,No,Yes,Yes,Yes,No,536723.37
605,5,4,1,3,26,Southend,Semi-Furnished,No,No,No,Yes,Yes,Yes,272517.33
4053,3,1,3,2,17,Southend,Furnished,Yes,Yes,No,No,No,No,647505.91
2194,3,1,2,0,37,Uptown,Unfurnished,Yes,No,No,Yes,No,No,517514.53
2233,5,1,2,0,33,Uptown,Unfurnished,No,No,Yes,No,No,Yes,722885.19
881,1,3,2,0,46,Westside,Unfurnished,Yes,No,Yes,No,Yes,No,300569.72
3236,6,3,2,2,34,Suburban,Unfurnished,No,No,No,No,Yes,Yes,753309.37
4856,4,2,3,2,38,Suburban,Semi-Furnished,Yes,Yes,No,Yes,Yes,No,845217.81
1816,4,3,3,2,39,Rural,Unfurnished,No,No,Yes,Yes,Yes,No,270365.03
3202,1,4,3,1,18,Southend,Furnished,No,No,No,Yes,Yes,No,631532.24
4574,3,1,2,2,32,Uptown,Unfurnished,Yes,No,No,No,Yes,No,1162379.9
1406,5,3,3,0,3,Rural,Unfurnished,Yes,No,Yes,No,Yes,Yes,363411.78
1162,2,3,3,1,45,Downtown,Furnished,No,Yes,No,Yes,Yes,Yes,546931.37
962,5,2,3,1,16,Eastside,Semi-Furnished,Yes,No,No,Yes,No,No,327746.18
3402,5,4,1,2,39,Suburban,Furnished,Yes,No,Yes,No,No,No,548631.8
5180,4,4,3,1,25,Midtown,Semi-Furnished,Yes,No,Yes,Yes,Yes,No,1320577.37
1442,5,1,2,2,24,Uptown,Unfurnished,Yes,Yes,No,Yes,No,No,501013.07
657,4,4,1,2,49,Westside,Unfurnished,Yes,No,No,No,No,Yes,246896.88
3809,2,3,1,3,31,Northend,Semi-Furnished,Yes,No,Yes,No,No,Yes,628522.94
1826,5,4,1,0,48,Southend,Unfurnished,Yes,Yes,No,Yes,Yes,No,377983.6
3217,1,2,3,3,25,Southend,Semi-Furnished,Yes,No,No,Yes,No,No,728718.77
3168,5,4,3,3,30,Uptown,Furnished,Yes,No,No,Yes,No,No,996958.02
3068,6,3,3,2,17,Rural,Semi-Furnished,Yes,No,Yes,Yes,Yes,No,567447.55
3892,6,3,2,2,25,Southend,Semi-Furnished,Yes,No,Yes,No,Yes,No,693923.23
2606,1,4,2,2,2,Downtown,Semi-Furnished,Yes,No,No,No,Yes,No,913938.83
1147,4,3,2,3,13,Midtown,Unfurnished,Yes,No,No,Yes,Yes,No,512368.92
3822,5,2,1,0,36,Uptown,Furnished,Yes,No,Yes,Yes,No,No,1010615.36
3438,4,4,2,0,21,Suburban,Furnished,Yes,Yes,Yes,No,Yes,No,548623.01
2983,1,4,1,0,4,Eastside,Semi-Furnished,Yes,No,No,Yes,Yes,Yes,516114.32
4741,4,4,3,3,40,Rural,Semi-Furnished,No,Yes,Yes,No,No,No,569028.39
3406,3,3,3,1,1,Northend,Unfurnished,Yes,Yes,No,Yes,No,No,574724.21
3525,6,3,1,2,19,Westside,Semi-Furnished,Yes,No,Yes,No,Yes,Yes,851866.18
1875,1,4,3,2,15,Southend,Furnished,Yes,No,No,No,No,No,370637.02
2323,4,2,3,0,4,Lakeview,Unfurnished,Yes,Yes,No,Yes,Yes,Yes,922835.66
744,5,1,3,1,34,Northend,Furnished,No,No,Yes,Yes,No,Yes,216572.88
2848,4,1,3,3,38,Rural,Furnished,Yes,No,No,No,Yes,No,334449.25
1367,2,3,3,0,42,Northend,Unfurnished,Yes,No,No,Yes,Yes,No,222446.12
3361,1,2,2,2,21,Lakeview,Unfurnished,Yes,No,No,Yes,No,No,845949.96
979,4,3,3,2,33,Westside,Semi-Furnished,Yes,Yes,No,No,Yes,No,375572.57
2962,6,4,3,0,26,Lakeview,Unfurnished,No,No,No,No,Yes,Yes,1002038.14
2435,3,3,1,2,45,Lakeview,Unfurnished,Yes,Yes,No,No,Yes,Yes,735986.46
3873,6,2,1,1,3,Uptown,Furnished,No,Yes,Yes,Yes,Yes,No,1034941.54
3521,2,1,1,3,45,Uptown,Semi-Furnished,Yes,No,No,Yes,No,No,840794.4
3692,1,2,3,2,5,Northend,Furnished,Yes,No,No,Yes,Yes,No,593952.02
587,2,2,2,2,28,Southend,Semi-Furnished,Yes,No,No,Yes,No,Yes,262386.59
1740,5,3,1,1,45,Southend,Furnished,Yes,No,Yes,No,Yes,Yes,441962.68
1072,3,2,1,0,43,Eastside,Unfurnished,Yes,No,Yes,No,Yes,No,233582.97
1313,5,2,3,0,21,Eastside,Unfurnished,Yes,No,No,Yes,No,No,273195.49
678,6,3,2,2,44,Southend,Furnished,No,No,No,No,Yes,No,197051.51
2225,6,2,2,3,35,Westside,Furnished,Yes,Yes,No,Yes,Yes,No,578936.22
662,4,2,3,0,5,Suburban,Furnished,Yes,Yes,No,Yes,No,No,427061.92
3140,2,2,2,1,5,Midtown,Semi-Furnished,Yes,No,Yes,Yes,Yes,Yes,774403.76
